Data	TCRBV01.01	TCRBV02.01	TCRBV03.01	TCRBV04.01	TCRBV05.01	TCRBV12.01	TCRBV12.02	TCRBV13.01	TCRBV13.02	TCRBV13.03	TCRBV14.01	TCRBV15.01	TCRBV16.01	TCRBV17.01	TCRBV19.01	TCRBV20.01	TCRBV21.01	TCRBV23.01	TCRBV26.01	TCRBV29.01	TCRBV30.01	TCRBV31.01
MP_Tbet+_1_D2	0.0704225352112676	0.0539096648858669	0.0743079164643031	0.0274405050995629	0.0653229723166586	0.0155415250121418	0.0131131617289947	0.0667799902865469	0.177756192326372	0.0502671199611462	0.0150558523555124	0.0371539582321515	0.0390966488586693	0.0123846527440505	0.0752792617775619	0.0575522098105877	0.00218552695483244	0.00558523555123847	0.0303545410393395	0.0529383195726081	0.00339970859640602	0.0539096648858669
MP_Tbet+_2_D2	0.0649811488134841	0.0445775116433799	0.0578842315369262	0.0197383011754269	0.0660900421379463	0.0148591705477933	0.014193834553116	0.0705256154357951	0.214016411621202	0.047682412951874	0.0121978265690841	0.0408072743402085	0.0365934797072522	0.0108671545797294	0.0667553781326236	0.063872255489022	0.00133067198935462	0.00643158128188068	0.0321579064094034	0.067420714127301	0.00399201596806387	0.0428032823242404
MP_Tbet+_3_D2	0.0779880018458699	0.0392247346562067	0.0576834333179511	0.0274573142593447	0.0606829718504845	0.012921089063221	0.0115366866635902	0.0768343331795108	0.205583756345178	0.0526072911859714	0.00761421319796954	0.0336871250576834	0.0389940009229349	0.0115366866635902	0.0678357175819105	0.0627595754499308	0.00207660359944624	0.00369173973234887	0.0355329949238579	0.0678357175819105	0.00299953853253346	0.0429164743885556
MP_Tbet-_1_D2	0.0618317061831706	0.0643886564388656	0.0943747094374709	0.0378893537889354	0.0660158066015807	0.0165039516503952	0.0144119014411901	0.0560204556020456	0.132264063226406	0.0509065550906555	0.0153417015341702	0.0353324035332404	0.0485820548582055	0.0123198512319851	0.0890283589028359	0.0543933054393305	0.00162715016271502	0.00860065086006509	0.0478847047884705	0.0216178521617852	0.00464900046490005	0.0653184565318456
MP_Tbet-_2_D2	0.056393076493579	0.0630932439977666	0.0756560580681184	0.0332216638749302	0.0728643216080402	0.0184254606365159	0.0156337241764377	0.059463986599665	0.140145170295924	0.0499720826353992	0.0164712451144612	0.0429927414852038	0.03964265773311	0.0147962032384143	0.0907314349525405	0.0505304299274149	0.00139586823003908	0.0067001675041876	0.0424343941931882	0.0376884422110553	0.00474595198213289	0.067001675041876
MP_Tbet-_3_D2	0.0711957884181499	0.0556530458761594	0.0915016294810729	0.035597894209075	0.0814740536475307	0.0155427425419905	0.0125344697919278	0.0574078716470293	0.121835046377538	0.049135121584357	0.0162948107295061	0.0273251441464026	0.0496365003760341	0.0100275758335422	0.0970167961895212	0.0511406367510654	0.000752068187515668	0.00952619704186513	0.0391075457508147	0.0298320381047882	0.00275758335422412	0.0744547505640511
Naive_1_D2	0.0656939096954848	0.0723223661183059	0.0939140707035352	0.0409520476023801	0.0763256912845642	0.0128631431571579	0.0124256212810641	0.0499649982499125	0.111043052152608	0.0600717535876794	0.0168008400420021	0.0356142807140357	0.0509275463773189	0.00934109205460273	0.0893857192859643	0.0447147357367868	0.00150945047252363	0.00809415470773539	0.0395738536926846	0.0180696534826741	0.00220948547427371	0.0879856492824641
Naive_2_D2	0.0600081497844596	0.071718103244901	0.0919209899843438	0.0386256889784889	0.074184485384005	0.0174791429858237	0.0168786325519549	0.0490488343663543	0.112981748772171	0.0578849164647093	0.0173290153773565	0.039204752611148	0.0465395586248311	0.00920067771891822	0.0941300105089326	0.0469041542453943	0.00223046732579836	0.00875029489351663	0.0397194758401784	0.0192592274862204	0.00390331782014713	0.081733759409784
Naive_3_D2	0.0694612302016411	0.0783665161249284	0.0938871573055149	0.0403706295189025	0.0761189915823845	0.0128278523418782	0.0106227339227784	0.0455229735173759	0.112524648559252	0.0592625575133049	0.0153086105633653	0.0347518181625427	0.049487946059411	0.00935055021945169	0.087695863282658	0.0443143989992155	0.0016750418760469	0.00833280325679028	0.0385047600873566	0.0174289167355766	0.00294722557937366	0.0909611347878634
Treg_Nrp1+_1_D2	0.051973881717202	0.0714500150105074	0.0880741519063344	0.0254803362353648	0.0850720504353047	0.0512608826178325	0.0360252176523567	0.0473956769738817	0.107812969078355	0.052574302011408	0.0114830381266887	0.0446562593815671	0.054600720504353	0.0118958270789553	0.0804563194235965	0.0442059441609126	0.000788051636145302	0.00840588411888322	0.0433053137196037	0.0159111377964575	0.00424046832782948	0.0627439207445212
Treg_Nrp1+_2_D2	0.0520497778983419	0.0662575022888339	0.0913838120104439	0.0247872232206436	0.079888779627683	0.0519819605981486	0.0380794140585263	0.0452002305788207	0.109728391712726	0.0496422637414805	0.0131226475873995	0.0458784035807535	0.0517106913973755	0.0113254891322776	0.0859923366450782	0.0450645959784341	0.00152588925434878	0.00844325387406327	0.0423519039707029	0.0180394018514123	0.00491675426401275	0.0621884642772371
Treg_Nrp1+_3_D2	0.0563786946280678	0.0692956462274903	0.0928880784134944	0.0248461363118304	0.085783755033812	0.0466529898943849	0.0337740293290783	0.045095357495631	0.107514626548135	0.0501861560671681	0.0120431578147557	0.0442215637109642	0.0559987842869083	0.0115112833371324	0.0840361674644784	0.044373527847428	0.0012537041258263	0.00919383025605957	0.0405744244358331	0.0150064584757997	0.00376111237747891	0.0650026593723881
